date,newCasesBySpecimenDate
2020-10-22,226
2020-10-21,7870
2020-10-20,18452
2020-10-19,21416
2020-10-18,11740
2020-10-17,12248
2020-10-16,14473
2020-10-15,15163
2020-10-14,16417
2020-10-13,15402
2020-10-12,16162
2020-10-11,9603
2020-10-10,10145
2020-10-09,12996
2020-10-08,15245
2020-10-07,15177
2020-10-06,14288
2020-10-05,14019
2020-10-04,9805
2020-10-03,9694
2020-10-02,11550
2020-10-01,11293
2020-09-30,10507
2020-09-29,8720
2020-09-28,8569
2020-09-27,6025
2020-09-26,5644
2020-09-25,6043
2020-09-24,6297
2020-09-23,5886
2020-09-22,5370
2020-09-21,4693
2020-09-20,4620
2020-09-19,4183
2020-09-18,4278
2020-09-17,3940
2020-09-16,3743
2020-09-15,3048
2020-09-14,2895
2020-09-13,1711
2020-09-12,2210
2020-09-11,2857
2020-09-10,3101
2020-09-09,2851
2020-09-08,3001
2020-09-07,3464
2020-09-06,2055
2020-09-05,2190
2020-09-04,2587
2020-09-03,2667
2020-09-02,2618
2020-09-01,1930
2020-08-31,1259
2020-08-30,980
2020-08-29,1046
2020-08-28,1389
2020-08-27,1337
2020-08-26,1141
2020-08-25,1059
2020-08-24,1083
2020-08-23,693
2020-08-22,716
2020-08-21,1004
2020-08-20,1220
2020-08-19,1071
2020-08-18,925
2020-08-17,1137
2020-08-16,527
2020-08-15,646
2020-08-14,1045
2020-08-13,1018
2020-08-12,1092
2020-08-11,1212
2020-08-10,1353
2020-08-09,557
2020-08-08,635
2020-08-07,864
2020-08-06,978
2020-08-05,943
2020-08-04,921
2020-08-03,939
2020-08-02,513
2020-08-01,494
2020-07-31,624
2020-07-30,855
2020-07-29,974
2020-07-28,782
2020-07-27,810
2020-07-26,514
2020-07-25,492
2020-07-24,714
2020-07-23,734
2020-07-22,749
2020-07-21,691
2020-07-20,753
2020-07-19,413
2020-07-18,466
2020-07-17,548
2020-07-16,640
2020-07-15,725
2020-07-14,650
2020-07-13,689
2020-07-12,351
2020-07-11,422
2020-07-10,520
2020-07-09,681
2020-07-08,671
2020-07-07,558
2020-07-06,656
2020-07-05,540
2020-07-04,383
2020-07-03,539
2020-07-02,560
2020-07-01,608
2020-06-30,570
2020-06-29,667
2020-06-28,411
2020-06-27,503
2020-06-26,644
2020-06-25,636
2020-06-24,729
2020-06-23,730
2020-06-22,815
2020-06-21,552
2020-06-20,629
2020-06-19,812
2020-06-18,944
2020-06-17,913
2020-06-16,991
2020-06-15,938
2020-06-14,745
2020-06-13,788
2020-06-12,933
2020-06-11,915
2020-06-10,1082
2020-06-09,1058
2020-06-08,988
2020-06-07,665
2020-06-06,722
2020-06-05,1019
2020-06-04,1143
2020-06-03,1241
2020-06-02,1353
2020-06-01,1315
2020-05-31,984
2020-05-30,999
2020-05-29,1368
2020-05-28,1570
2020-05-27,1612
2020-05-26,1458
2020-05-25,1377
2020-05-24,1198
2020-05-23,1300
2020-05-22,1796
2020-05-21,2273
2020-05-20,2353
2020-05-19,2585
2020-05-18,2216
2020-05-17,1589
2020-05-16,1769
2020-05-15,2131
2020-05-14,2212
2020-05-13,2881
2020-05-12,2927
2020-05-11,3068
2020-05-10,2006
2020-05-09,1792
2020-05-08,2617
2020-05-07,3202
2020-05-06,3267
2020-05-05,3145
2020-05-04,2836
2020-05-03,2629
2020-05-02,2748
2020-05-01,4091
2020-04-30,4315
2020-04-29,4738
2020-04-28,4124
2020-04-27,4031
2020-04-26,3135
2020-04-25,3377
2020-04-24,4363
2020-04-23,4563
2020-04-22,4795
2020-04-21,3973
2020-04-20,3692
2020-04-19,3470
2020-04-18,4115
2020-04-17,4079
2020-04-16,4359
2020-04-15,4233
2020-04-14,3563
2020-04-13,3447
2020-04-12,2946
2020-04-11,3083
2020-04-10,3584
2020-04-09,4058
2020-04-08,4297
2020-04-07,4582
2020-04-06,4385
2020-04-05,3085
2020-04-04,3384
2020-04-03,4106
2020-04-02,4066
2020-04-01,4100
2020-03-31,3786
2020-03-30,3523
2020-03-29,2439
2020-03-28,2375
2020-03-27,2659
2020-03-26,2615
2020-03-25,2266
2020-03-24,2026
2020-03-23,2017
2020-03-22,1209
2020-03-21,1034
2020-03-20,1082
2020-03-19,930
2020-03-18,909
2020-03-17,679
2020-03-16,547
2020-03-15,398
2020-03-14,314
2020-03-13,393
2020-03-12,415
2020-03-11,353
2020-03-10,226
2020-03-09,124
2020-03-08,50
2020-03-07,54
2020-03-06,73
2020-03-05,47
2020-03-04,49
2020-03-03,53
2020-03-02,39
2020-03-01,20
2020-02-29,5
2020-02-28,11
2020-02-27,7
2020-02-26,4
2020-02-25,5
2020-02-24,2
2020-02-23,1
2020-02-22,0
2020-02-21,1
2020-02-20,0
2020-02-19,0
2020-02-18,0
2020-02-17,0
2020-02-16,0
2020-02-15,0
2020-02-14,0
2020-02-13,0
2020-02-12,0
2020-02-11,1
2020-02-10,0
2020-02-09,1
2020-02-08,4
2020-02-07,0
2020-02-06,0
2020-02-05,1
2020-02-04,0
2020-02-03,0
2020-02-02,0
2020-02-01,0
2020-01-31,0
2020-01-30,2
