date,areaType,areaCode,areaName,metric,age,cases,rollingRate,rollingSum
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"00_04",1030,213.1,7031
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"05_09",1257,225.8,7988
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"10_14",1715,349.2,11714
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"15_19",3047,606.4,18739
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"20_24",4938,880.1,30698
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"25_29",5360,923.6,35111
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"30_34",5272,907,34539
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"35_39",4855,850.7,31763
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"40_44",4396,851.8,29083
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"45_49",4267,749.5,27850
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"50_54",4434,735.4,28735
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"55_59",3855,690.8,25357
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"60_64",2680,575.9,17921
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"65_69",1636,385.9,10792
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"70_74",1207,290.9,8086
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"75_79",862,299.9,5821
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"80_84",771,341.3,4915
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"85_89",664,475.5,4183
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"90+",603,746.2,3860
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,unassigned,51,,369
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"60+",8423,412.7,55578
"2021-01-02",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"00_59",44477,674.8,288977
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"00_04",635,208.3,6874
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"05_09",657,216.9,7674
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"10_14",900,338.3,11347
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"15_19",1409,571.3,17654
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"20_24",2294,824.3,28751
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"25_29",2727,875.7,33289
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"30_34",2719,861.5,32805
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"35_39",2506,818.5,30559
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"40_44",2368,824.8,28160
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"45_49",2216,720.3,26765
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"50_54",2368,702.6,27453
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"55_59",2147,657.3,24126
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"60_64",1561,547.3,17030
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"65_69",934,364.7,10201
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"70_74",752,276.7,7691
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"75_79",552,282.4,5480
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"80_84",477,320.4,4613
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"85_89",408,444.2,3908
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"90+",375,693.6,3588
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,unassigned,9,,350
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"60+",5059,390,52511
"2021-01-01",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"00_59",22955,644.1,275807
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"00_04",956,196.4,6482
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"05_09",1090,205.5,7272
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"10_14",1598,324.7,10891
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"15_19",2605,546.2,16879
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"20_24",4038,785,27379
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"25_29",4646,835.1,31744
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"30_34",4652,821.1,31269
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"35_39",4240,784.9,29304
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"40_44",3815,790.5,26991
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"45_49",3650,690.2,25648
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"50_54",3886,668.5,26123
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"55_59",3461,624.6,22926
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"60_64",2378,518.4,16131
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"65_69",1517,345.8,9672
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"70_74",1205,262,7283
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"75_79",827,267.8,5197
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"80_84",655,303.2,4366
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"85_89",592,419.1,3687
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"90+",462,652.8,3377
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,unassigned,48,,343
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"60+",7636,369.2,49713
"2020-12-31",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"00_59",38685,614.8,263251
"2020-12-30",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"00_04",1287,189.2,6242
"2020-12-30",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"05_09",1484,197.7,6995
"2020-12-30",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"10_14",2141,313.2,10504
"2020-12-30",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"15_19",3463,511.3,15800
"2020-12-30",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"20_24",5775,737,25704
"2020-12-30",nation,E92000001,England,newCasesBySpecimenDateAgeDemographics,"25_29",6525,783,29766
