,reportedTests,reportedCases,specimenCases,reportedDeaths,specimenDeaths,certificateDeaths,hospitalisations,inHospital,posTests,mortCases,mortality,hospitalisationRate
2020-01-30,,,2.0,,,1.0,,,,,,
2020-01-31,,2.0,0.0,,,0.0,,,,,,
2020-02-01,,0.0,0.0,,,0.0,,,,,,
2020-02-02,,0.0,0.0,,,1.0,,,,,,
2020-02-03,,0.0,0.0,,,0.0,,,,,,
2020-02-04,,0.0,0.0,,,0.0,,,,,,
2020-02-05,,0.0,1.0,,,0.0,,,,,,
2020-02-06,,1.0,0.0,,,0.0,,,,,,
2020-02-07,,0.0,0.0,,,0.0,,,,,,
2020-02-08,,0.0,4.0,,,0.0,,,,,,
2020-02-09,,1.0,1.0,,,0.0,,,,,,
2020-02-10,,4.0,0.0,,,0.0,,,,,,
2020-02-11,,0.0,1.0,,,0.0,,,,,,
2020-02-12,,0.0,0.0,,,0.0,,,,,,
2020-02-13,,1.0,0.0,,,0.0,,,,,,
2020-02-14,,0.0,0.0,,,0.0,,,,,,
2020-02-15,,0.0,0.0,,,0.0,,,,,,
2020-02-16,,0.0,0.0,,,0.0,,,,,,
2020-02-17,,0.0,0.0,,,0.0,,,,,,
2020-02-18,,0.0,0.0,,,0.0,,,,,,
2020-02-19,,0.0,0.0,,,0.0,,,,,,
2020-02-20,,0.0,0.0,,,0.0,,,,,,
2020-02-21,,0.0,1.0,,,0.0,,,,,,
2020-02-22,,0.0,0.0,,,1.0,,,,,,
2020-02-23,,0.0,1.0,,,0.0,,,,,,
2020-02-24,,4.0,2.0,,,0.0,,,,,,
2020-02-25,,0.0,5.0,,,0.0,,,,,,
2020-02-26,,0.0,4.0,,,0.0,,,,,,
2020-02-27,,0.0,7.0,,,0.0,,,,13.0,,
2020-02-28,,5.0,11.0,,,0.0,,,,16.0,,
2020-02-29,,3.0,5.0,,,0.0,,,,19.0,,
2020-03-01,,12.0,20.0,,,0.0,,,,31.0,,
2020-03-02,,4.0,38.0,,1.0,1.0,,,,35.0,2.857142857142857,
2020-03-03,,11.0,53.0,,2.0,0.0,,,,46.0,4.3478260869565215,
2020-03-04,,32.0,49.0,,0.0,1.0,,,,78.0,0.0,
2020-03-05,,25.0,46.0,,3.0,2.0,,,,102.0,2.941176470588235,
2020-03-06,,39.0,73.0,1.0,0.0,2.0,,,,141.0,0.0,
2020-03-07,,39.0,55.0,1.0,0.0,0.0,,,,180.0,0.0,
2020-03-08,,58.0,50.0,0.0,3.0,2.0,,,,237.0,1.2658227848101267,
2020-03-09,,40.0,125.0,1.0,5.0,5.0,,,,273.0,1.8315018315018317,
2020-03-10,,46.0,227.0,4.0,3.0,3.0,,,,319.0,0.9404388714733543,
2020-03-11,,63.0,353.0,0.0,8.0,7.0,,,,382.0,2.094240837696335,
2020-03-12,,99.0,414.0,2.0,12.0,11.0,,,,480.0,2.5,
2020-03-13,,159.0,393.0,1.0,16.0,16.0,,,,639.0,2.503912363067293,
2020-03-14,,201.0,315.0,18.0,20.0,19.0,,,,840.0,2.380952380952381,
2020-03-15,,253.0,396.0,14.0,32.0,28.0,,,,1093.0,2.92772186642269,
2020-03-16,,97.0,545.0,22.0,43.0,44.0,,,,1190.0,3.613445378151261,
2020-03-17,,361.0,681.0,15.0,50.0,54.0,,,,1551.0,3.2237266279819474,
2020-03-18,,625.0,907.0,33.0,67.0,66.0,,,,2176.0,3.079044117647059,
2020-03-19,,574.0,927.0,42.0,67.0,71.0,586.0,,,2750.0,2.4363636363636365,21.30909090909091
2020-03-20,,628.0,1087.0,32.0,102.0,109.0,691.0,1580.0,,3378.0,3.019538188277087,20.4558910597987
2020-03-21,,873.0,1033.0,54.0,116.0,125.0,777.0,2152.0,,4251.0,2.7287697012467653,18.278052223006352
2020-03-22,,535.0,1204.0,24.0,153.0,173.0,859.0,2670.0,,4786.0,3.1968240702047637,17.948182198077728
2020-03-23,,793.0,2012.0,67.0,173.0,188.0,1128.0,3183.0,,5575.0,3.103139013452915,20.233183856502244
2020-03-24,,1258.0,2025.0,143.0,219.0,236.0,1544.0,3598.0,,6833.0,3.2050343919215574,22.59622420605883
2020-03-25,,1130.0,2259.0,178.0,278.0,299.0,1755.0,4402.0,,7963.0,3.4911465528067316,22.03943237473314
2020-03-26,,1809.0,2614.0,169.0,337.0,370.0,1639.0,5226.0,,9772.0,3.4486287351616864,16.772410970118706
2020-03-27,,2506.0,2649.0,271.0,374.0,416.0,1931.0,6462.0,,12273.0,3.0473396887476576,15.73372443575328
2020-03-28,,2139.0,2368.0,279.0,384.0,449.0,1873.0,7269.0,,14409.0,2.6650010410160316,12.9988201818308
