date,areaType,areaCode,areaName,metric,age,deaths,rollingRate,rollingSum
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"00_04",2,0.3,10
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"10_14",0,0,0
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"15_19",0,0,0
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"20_24",0,0,0
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"25_29",1,0.1,3
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"30_34",2,0.2,9
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"35_39",1,0.3,11
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"40_44",2,0.3,10
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"45_49",6,1,37
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"50_54",7,1.3,52
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"55_59",15,2.5,90
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"05_09",0,0.1,2
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"60_64",11,3.8,119
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"65_69",26,8.6,241
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"70_74",47,12.7,352
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"75_79",72,26.5,514
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"80_84",96,48.8,702
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"85_89",106,85.5,752
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"90+",108,146.2,756
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"60+",466,25.5,3436
"2021-01-02",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"00_59",36,0.5,224
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"00_04",1,0.4,12
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"10_14",0,0,0
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"15_19",0,0,0
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"20_24",0,0,0
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"25_29",0,0.1,3
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"30_34",2,0.2,7
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"35_39",2,0.4,15
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"40_44",1,0.4,12
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"45_49",5,1,36
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"50_54",4,1.3,52
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"55_59",14,2.5,93
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"05_09",0,0.1,2
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"60_64",18,4,124
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"65_69",37,8.7,243
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"70_74",46,12.7,353
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"75_79",83,26.1,507
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"80_84",91,49.6,714
"2021-01-01",nation,E92000001,England,newDeaths28DaysByDeathDateAgeDemographics,"85_89",92,85.6,753
