date,newCasesBySpecimenDate
2020-10-22,1326
2020-10-21,10320
2020-10-20,21410
2020-10-19,24867
2020-10-18,14106
2020-10-17,14687
2020-10-16,17682
2020-10-15,18370
2020-10-14,19710
2020-10-13,18899
2020-10-12,19438
2020-10-11,12029
2020-10-10,12520
2020-10-09,15738
2020-10-08,18241
2020-10-07,18323
2020-10-06,17062
2020-10-05,16540
2020-10-04,11781
2020-10-03,11543
2020-10-02,13674
2020-10-01,13180
2020-09-30,12541
2020-09-29,10244
2020-09-28,9922
2020-09-27,6974
2020-09-26,6753
2020-09-25,7250
2020-09-24,7615
2020-09-23,7058
2020-09-22,6418
2020-09-21,5591
2020-09-20,5316
2020-09-19,4860
2020-09-18,4962
2020-09-17,4636
2020-09-16,4368
2020-09-15,3558
2020-09-14,3392
2020-09-13,2145
2020-09-12,2671
2020-09-11,3291
2020-09-10,3597
2020-09-09,3330
2020-09-08,3303
2020-09-07,3862
2020-09-06,2446
2020-09-05,2546
2020-09-04,3037
2020-09-03,3101
2020-09-02,2996
2020-09-01,2251
2020-08-31,1500
2020-08-30,1163
2020-08-29,1228
2020-08-28,1633
2020-08-27,1563
2020-08-26,1353
2020-08-25,1246
2020-08-24,1223
2020-08-23,823
2020-08-22,828
2020-08-21,1198
2020-08-20,1464
2020-08-19,1240
2020-08-18,1084
2020-08-17,1284
2020-08-16,598
2020-08-15,698
2020-08-14,1169
2020-08-13,1145
2020-08-12,1205
2020-08-11,1340
2020-08-10,1475
2020-08-09,616
2020-08-08,695
2020-08-07,942
2020-08-06,1083
2020-08-05,1061
2020-08-04,1022
2020-08-03,1041
2020-08-02,555
2020-08-01,543
2020-07-31,674
2020-07-30,923
2020-07-29,1040
2020-07-28,844
2020-07-27,858
2020-07-26,557
2020-07-25,523
2020-07-24,769
2020-07-23,800
2020-07-22,798
2020-07-21,783
2020-07-20,812
2020-07-19,443
2020-07-18,497
2020-07-17,582
2020-07-16,705
2020-07-15,774
2020-07-14,690
2020-07-13,733
2020-07-12,367
2020-07-11,449
2020-07-10,565
2020-07-09,716
2020-07-08,701
2020-07-07,602
2020-07-06,707
2020-07-05,556
2020-07-04,398
2020-07-03,572
2020-07-02,604
2020-07-01,650
2020-06-30,615
2020-06-29,728
2020-06-28,447
2020-06-27,651
2020-06-26,672
2020-06-25,720
2020-06-24,778
2020-06-23,889
2020-06-22,896
2020-06-21,640
2020-06-20,687
2020-06-19,988
2020-06-18,1027
2020-06-17,1015
2020-06-16,1101
2020-06-15,1044
2020-06-14,820
2020-06-13,891
2020-06-12,1048
2020-06-11,1012
2020-06-10,1194
2020-06-09,1158
2020-06-08,1094
2020-06-07,721
2020-06-06,805
2020-06-05,1122
2020-06-04,1249
2020-06-03,1362
2020-06-02,1492
2020-06-01,1441
2020-05-31,1079
2020-05-30,1122
2020-05-29,1523
2020-05-28,1755
2020-05-27,1829
2020-05-26,1665
2020-05-25,1620
2020-05-24,1365
2020-05-23,1527
2020-05-22,2058
2020-05-21,2572
2020-05-20,2716
2020-05-19,3053
2020-05-18,2587
2020-05-17,1837
2020-05-16,2078
2020-05-15,2528
2020-05-14,2630
2020-05-13,3307
2020-05-12,3401
2020-05-11,3584
2020-05-10,2325
2020-05-09,2159
2020-05-08,3058
2020-05-07,3765
2020-05-06,3824
2020-05-05,3683
2020-05-04,3379
2020-05-03,2978
2020-05-02,3234
2020-05-01,4735
2020-04-30,4966
2020-04-29,5437
2020-04-28,4732
2020-04-27,4704
2020-04-26,3473
2020-04-25,3751
2020-04-24,4964
2020-04-23,5151
2020-04-22,5486
2020-04-21,4762
2020-04-20,4861
2020-04-19,3851
2020-04-18,4711
2020-04-17,4953
2020-04-16,5288
2020-04-15,5058
2020-04-14,4321
2020-04-13,4186
2020-04-12,3486
2020-04-11,3582
2020-04-10,4316
2020-04-09,4854
2020-04-08,5128
2020-04-07,5449
2020-04-06,5278
2020-04-05,3593
2020-04-04,4013
2020-04-03,4918
2020-04-02,4862
2020-04-01,4914
2020-03-31,4515
2020-03-30,4271
2020-03-29,2857
2020-03-28,2823
2020-03-27,3194
2020-03-26,3091
2020-03-25,2700
2020-03-24,2375
2020-03-23,2329
2020-03-22,1378
2020-03-21,1196
2020-03-20,1255
2020-03-19,1053
2020-03-18,999
2020-03-17,768
2020-03-16,613
2020-03-15,444
2020-03-14,362
2020-03-13,480
2020-03-12,482
2020-03-11,405
2020-03-10,264
2020-03-09,146
2020-03-08,57
2020-03-07,67
2020-03-06,81
2020-03-05,51
2020-03-04,56
2020-03-03,56
2020-03-02,40
2020-03-01,22
2020-02-29,5
2020-02-28,12
2020-02-27,8
2020-02-26,4
2020-02-25,5
2020-02-24,2
2020-02-23,1
2020-02-22,0
2020-02-21,1
2020-02-20,0
2020-02-19,0
2020-02-18,0
2020-02-17,0
2020-02-16,0
2020-02-15,0
2020-02-14,0
2020-02-13,0
2020-02-12,0
2020-02-11,1
2020-02-10,0
2020-02-09,1
2020-02-08,4
2020-02-07,0
2020-02-06,0
2020-02-05,1
2020-02-04,0
2020-02-03,0
2020-02-02,0
2020-02-01,0
2020-01-31,0
2020-01-30,2
