,reportedTests,reportedCases,specimenCases,reportedDeaths,specimenDeaths,certificateDeaths,hospitalisations,inHospital,posTests,mortCases,mortality,hospitalisationRate
2020-02-27,,,1.0,,,,,,,,,
2020-02-28,,1.0,0.0,,,,,,,,,
2020-02-29,,0.0,0.0,,,,,,,,,
2020-03-01,,0.0,0.0,,,,,,,,,
2020-03-02,,0.0,0.0,,,,,,,,,
2020-03-03,,0.0,0.0,,,,,,,,,
2020-03-04,,0.0,1.0,,,,,,,,,
2020-03-05,,1.0,0.0,,,,,,,,,
2020-03-06,,0.0,0.0,,,,,,,,,
2020-03-07,,0.0,2.0,,,,,,,,,
2020-03-08,,0.0,1.0,,,,,,,,,
2020-03-09,,2.0,3.0,,,,,,,,,
2020-03-10,,2.0,12.0,,,,,,,,,
2020-03-11,,9.0,14.0,,,,,,,,,
2020-03-12,,10.0,25.0,,,,,,,,,
2020-03-13,,13.0,29.0,,,,,,,,,
2020-03-14,,22.0,18.0,,,,,,,,,
2020-03-15,,34.0,31.0,,,1.0,,,,,,
2020-03-16,,30.0,29.0,,3.0,3.0,,,,,,
2020-03-17,,12.0,57.0,1.0,0.0,1.0,,,,,,
2020-03-18,,13.0,29.0,0.0,0.0,2.0,,,,,,
2020-03-19,,21.0,58.0,0.0,3.0,4.0,,,,,,
2020-03-20,,21.0,73.0,0.0,2.0,4.0,,,,,,
2020-03-21,,89.0,76.0,2.0,7.0,9.0,,,,,,
2020-03-22,,67.0,75.0,9.0,5.0,4.0,,,,,,
2020-03-23,,71.0,134.0,4.0,4.0,7.0,32.0,110.0,,,,
2020-03-24,,60.0,140.0,1.0,9.0,11.0,63.0,150.0,,,,
2020-03-25,,150.0,190.0,5.0,10.0,12.0,178.0,188.0,,,,
2020-03-26,,113.0,177.0,6.0,11.0,12.0,107.0,203.0,,741.0,1.484480431848853,14.439946018893387
2020-03-27,,180.0,193.0,6.0,10.0,18.0,118.0,243.0,,920.0,1.0869565217391304,12.82608695652174
2020-03-28,,172.0,167.0,4.0,15.0,21.0,126.0,310.0,,1092.0,1.3736263736263736,11.538461538461538
2020-03-29,,148.0,159.0,10.0,18.0,23.0,133.0,329.0,,1240.0,1.4516129032258065,10.725806451612902
2020-03-30,,210.0,343.0,14.0,16.0,21.0,147.0,387.0,,1450.0,1.103448275862069,10.137931034482758
2020-03-31,855.0,112.0,278.0,7.0,15.0,21.0,158.0,439.0,13.099415204678364,1562.0,0.9603072983354672,10.115236875800255
2020-04-01,942.0,274.0,327.0,29.0,21.0,24.0,207.0,483.0,29.087048832271762,1836.0,1.1437908496732025,11.27450980392157
2020-04-02,1090.0,284.0,337.0,19.0,28.0,39.0,21.0,525.0,26.055045871559635,2119.0,1.321378008494573,0.9910335063709298
2020-04-03,1110.0,345.0,330.0,24.0,29.0,41.0,46.0,568.0,31.08108108108108,2464.0,1.176948051948052,1.8668831168831168
2020-04-04,1000.0,387.0,281.0,13.0,31.0,53.0,73.0,596.0,38.7,2851.0,1.0873377762188707,2.56050508593476
2020-04-05,910.0,344.0,224.0,12.0,30.0,54.0,21.0,664.0,37.8021978021978,3195.0,0.9389671361502347,0.6572769953051643
2020-04-06,696.0,302.0,383.0,27.0,20.0,45.0,102.0,731.0,43.39080459770115,3495.0,0.5722460658082975,2.9184549356223175
2020-04-07,794.0,291.0,386.0,19.0,32.0,53.0,30.0,738.0,36.649874055415616,3784.0,0.8456659619450317,0.7928118393234672
2020-04-08,21.0,283.0,386.0,33.0,42.0,72.0,80.0,816.0,100.0,4058.0,1.0349926071956628,1.9714144898965007
2020-04-09,1254.0,16.0,391.0,41.0,43.0,61.0,30.0,795.0,1.2759170653907497,4064.0,1.0580708661417324,0.7381889763779528
2020-04-10,912.0,502.0,308.0,29.0,25.0,49.0,154.0,833.0,55.04385964912281,4553.0,0.5490885130683066,3.382385240500769
2020-04-11,1005.0,340.0,247.0,36.0,31.0,50.0,76.0,865.0,33.83084577114428,4871.0,0.6364196263600903,1.560254567850544
2020-04-12,770.0,367.0,248.0,18.0,37.0,73.0,66.0,910.0,47.66233766233766,5204.0,0.7109915449654112,1.2682551883166795
2020-04-13,678.0,313.0,273.0,15.0,43.0,57.0,8.0,897.0,46.16519174041298,5487.0,0.7836704938946601,0.14579916165482049
2020-04-14,703.0,238.0,319.0,19.0,26.0,56.0,73.0,919.0,33.85490753911807,5713.0,0.4551023980395589,1.2777875021879923
2020-04-15,755.0,272.0,361.0,60.0,38.0,60.0,7.0,884.0,36.026490066225165,5972.0,0.6363027461486939,0.11721366376423309
2020-04-16,705.0,284.0,363.0,32.0,35.0,56.0,3.0,844.0,40.283687943262414,6235.0,0.5613472333600642,0.048115477145148355
2020-04-17,783.0,244.0,324.0,11.0,30.0,62.0,30.0,825.0,31.162196679438058,6458.0,0.4645401052957572,0.4645401052957572
2020-04-18,1056.0,292.0,248.0,28.0,32.0,53.0,14.0,818.0,27.65151515151515,6661.0,0.48040834709503083,0.21017865185407597
2020-04-19,921.0,334.0,181.0,41.0,26.0,49.0,107.0,828.0,36.26492942453854,6928.0,0.37528868360277134,1.54445727482679
2020-04-20,1033.0,276.0,281.0,9.0,25.0,47.0,20.0,853.0,26.718296224588578,7133.0,0.3504836674610963,0.28038693396887704
2020-04-21,964.0,304.0,259.0,25.0,30.0,54.0,19.0,838.0,31.535269709543567,7377.0,0.40666937779585194,0.25755727260403954
2020-04-22,816.0,274.0,253.0,15.0,23.0,49.0,76.0,773.0,33.57843137254902,7501.0,0.3066257832289028,1.0131982402346353
2020-04-23,1027.0,234.0,200.0,17.0,18.0,50.0,37.0,741.0,22.78481012658228,7622.0,0.23615848858567304,0.48543689320388345
2020-04-24,1301.0,243.0,213.0,110.0,31.0,43.0,79.0,743.0,18.677940046118373,7685.0,0.4033832140533507,1.0279765777488614
2020-04-25,775.0,299.0,137.0,23.0,29.0,48.0,39.0,719.0,38.58064516129032,7812.0,0.37122375832053256,0.49923195084485406
2020-04-26,1250.0,178.0,121.0,14.0,16.0,36.0,69.0,710.0,14.24,7842.0,0.204029584289722,0.8798775822494262
2020-04-27,1191.0,203.0,173.0,8.0,16.0,35.0,40.0,734.0,17.044500419815282,7835.0,0.204211869814933,0.5105296745373326
2020-04-28,734.0,232.0,152.0,17.0,15.0,30.0,139.0,676.0,31.607629427792915,7955.0,0.18856065367693275,1.74732872407291
2020-04-29,1042.0,117.0,176.0,73.0,26.0,34.0,25.0,664.0,11.228406909788866,7798.0,0.3334188253398307,0.32059502436522186
2020-04-30,1090.0,183.0,200.0,22.0,16.0,39.0,52.0,643.0,16.788990825688074,7697.0,0.20787319734961673,0.6755878913862544
2020-05-01,1438.0,160.0,177.0,17.0,29.0,35.0,35.0,529.0,11.126564673157164,7512.0,0.38604898828541,0.4659211927582535
2020-05-02,1198.0,183.0,179.0,44.0,14.0,35.0,13.0,521.0,15.275459098497496,7308.0,0.19157088122605362,0.17788724685276408
2020-05-03,1504.0,174.0,108.0,14.0,14.0,27.0,84.0,539.0,11.569148936170212,7138.0,0.1961333706920706,1.1768002241524236
2020-05-04,892.0,195.0,141.0,14.0,23.0,38.0,17.0,538.0,21.8609865470852,7031.0,0.3271227421419428,0.2417863746266534
2020-05-05,743.0,145.0,175.0,26.0,17.0,31.0,99.0,501.0,19.515477792732167,6885.0,0.24691358024691357,1.4379084967320261
2020-05-06,933.0,95.0,171.0,21.0,23.0,37.0,23.0,478.0,10.182207931404074,6697.0,0.34343736001194564,0.34343736001194564
2020-05-07,1134.0,87.0,176.0,18.0,19.0,26.0,85.0,470.0,7.671957671957672,6768.0,0.28073286052009455,1.2559101654846336
2020-05-08,1096.0,152.0,115.0,28.0,13.0,19.0,43.0,416.0,13.86861313868613,6418.0,0.20255531318167652,0.6699906512932378
2020-05-09,2017.0,118.0,136.0,9.0,7.0,17.0,64.0,448.0,5.85027268220129,6196.0,0.11297611362169142,1.0329244673983213
2020-05-10,1314.0,223.0,107.0,12.0,10.0,19.0,5.0,461.0,16.971080669710805,6052.0,0.16523463317911435,0.08261731658955718
2020-05-11,1193.0,124.0,178.0,5.0,15.0,21.0,106.0,465.0,10.393964794635373,5863.0,0.2558417192563534,1.8079481494115641
2020-05-12,1087.0,105.0,150.0,16.0,11.0,19.0,6.0,425.0,9.659613615455381,5730.0,0.19197207678883071,0.10471204188481677
2020-05-13,1300.0,133.0,154.0,22.0,16.0,22.0,8.0,394.0,10.23076923076923,5591.0,0.28617420854945447,0.14308710427472723
2020-05-14,1421.0,128.0,132.0,10.0,12.0,27.0,73.0,364.0,9.00774102744546,5435.0,0.22079116835326587,1.3431462741490339
2020-05-15,1652.0,126.0,180.0,9.0,16.0,19.0,24.0,336.0,7.627118644067797,5317.0,0.3009215723152154,0.45138235847282304
2020-05-16,1743.0,183.0,166.0,18.0,13.0,27.0,142.0,378.0,10.499139414802066,5208.0,0.24961597542242703,2.726574500768049
2020-05-17,1931.0,162.0,117.0,12.0,11.0,17.0,21.0,373.0,8.389435525634386,5036.0,0.21842732327243844,0.4169976171564733
2020-05-18,1914.0,101.0,169.0,4.0,10.0,19.0,18.0,356.0,5.276907001044933,4861.0,0.20571898786257972,0.37029417815264354
2020-05-19,1565.0,166.0,212.0,17.0,11.0,15.0,75.0,329.0,10.60702875399361,4723.0,0.23290281600677537,1.5879737455007412
2020-05-20,1843.0,110.0,166.0,14.0,7.0,13.0,42.0,324.0,5.968529571351058,4559.0,0.15354244351831542,0.9212546611098925
2020-05-21,1794.0,166.0,132.0,9.0,9.0,16.0,94.0,309.0,9.253065774804906,4491.0,0.2004008016032064,2.0930750389668225
2020-05-22,2161.0,138.0,136.0,7.0,10.0,19.0,35.0,385.0,6.385932438685793,4386.0,0.22799817601459188,0.7979936160510716
2020-05-23,2426.0,185.0,122.0,6.0,7.0,10.0,59.0,383.0,7.625721352019786,4272.0,0.16385767790262173,1.3810861423220975
2020-05-24,3079.0,140.0,83.0,7.0,12.0,21.0,39.0,393.0,4.546930821695356,4234.0,0.28341993386868214,0.9211147850732169
2020-05-25,3030.0,106.0,106.0,7.0,10.0,14.0,110.0,380.0,3.498349834983498,4137.0,0.241721053903795,2.658931592941745
2020-05-26,2206.0,141.0,102.0,8.0,10.0,16.0,22.0,436.0,6.391659111514053,4046.0,0.2471576866040534,0.5437469105289174
2020-05-27,1555.0,97.0,118.0,11.0,6.0,18.0,25.0,425.0,6.237942122186495,4026.0,0.14903129657228018,0.6209637357178341
2020-05-28,2743.0,72.0,102.0,14.0,16.0,20.0,29.0,438.0,2.6248632883703973,3915.0,0.4086845466155811,0.7407407407407408
